id,title,view_count,width,height,aspect_ratio,mean_red,mean_green,mean_blue,brightness_mean,brightness_std,saturation_mean,edge_density
J1UWh5tVuww,100 bebek bir odaya kapatılıp büyütülürse hangi dili konuşurlar?,10937470,1280,720,1.777778,101.3907,107.052,113.1722,116.5298,78.1921,46.2561,0.050545
hQXLrPlcbeo,Kim ulan* bu Elon Musk?,9573926,1280,720,1.777778,123.3178,106.8474,102.0968,123.8416,88.8974,99.5049,0.036781
tUiP0_B6pP4,Dünya yuvarlak değildir!,8239739,1280,720,1.777778,99.7381,103.7192,107.815,116.5355,97.9783,65.2488,0.025812
GW3MMtJMeq4,Büyük Piramidin içinde ne var? 3B TUR,8174309,1280,720,1.777778,97.4313,96.2544,108.2098,118.2468,72.274,95.3739,0.034269
CgXPnpvrGNM,Yabancı dil öğrenmenin en hızlı yolu: KO-KO Tekniği,6915614,1280,720,1.777778,159.0727,151.8974,131.0349,161.9166,99.854,48.4064,0.024166
LGCZCo-rgu4,Barış Özcan & Şanışer - Korkudan,6602398,1280,720,1.777778,96.6983,95.9151,110.2411,129.1534,99.4239,131.2487,0.01656
FgorLc4K2eA,Kimdi bu Stephen Hawking?,6235861,1280,720,1.777778,99.663,98.2159,93.6622,110.5445,80.7714,92.9505,0.060195
31xYUbF3V2M,Ay'a GERÇEKTEN gidildi mi?,6205003,1280,720,1.777778,80.6981,79.9748,79.7082,85.3178,79.6514,84.5852,0.064295
BN-yIQT6gq0,Geleceğin Kısa Tarihi - 11 Dakikada 245 Yıl,5984110,1280,720,1.777778,34.8827,50.5426,51.1485,53.9271,82.3944,93.2264,0.029495
GhfdQWe54-o,Herkes Nerede? Neden uzaylılarla karşılaşmadığımızı açıklayan 17 hipotez,5967044,1280,720,1.777778,131.9412,129.0573,144.9167,152.3432,93.1382,85.4756,0.025248
oN_8J6W8iJE,Erteleme hastalığınız varsa bu videoyu hiç ertelemeden izleyin!,5717274,1280,720,1.777778,70.9509,67.9021,67.6602,75.568,88.1769,82.5611,0.01573
NSZ2AHJ-odE,6 yaşındaki oğlumla 10 ayda 1000 kitap okuduk!,5469127,1280,720,1.777778,115.3293,99.9543,94.7255,124.2529,72.9272,118.4336,0.035482
yjfXTzzXBFk,Coronavirüs Salgını,5336854,1280,720,1.777778,146.4389,136.3819,114.6597,154.0644,51.4476,77.0055,0.023364
6Is9Hc8R97U,Bermuda Şeytan Üçgeninin gizemi çözülebilir mi?,5040732,1280,720,1.777778,71.3722,108.2257,125.8384,132.2219,56.6244,141.3187,0.033269
KW0yOEw2UqY,Uzaylılar bizi buldu mu? Oumuamua nedir?,4903589,1280,720,1.777778,64.5739,63.1063,60.7732,65.5414,62.9762,26.0972,0.033583
NgsM4mRc5uk,Antarktika'ya gitmek yasak mı?,4857489,1280,720,1.777778,121.538,101.7949,107.225,128.4046,82.293,86.0205,0.030969
CgESCTp0UqI,Tesla CyberTruck siparişi verdim! Etkinlik ve Araç Tasarım Analizi,4840595,1280,720,1.777778,78.1465,79.1981,78.7575,92.5427,72.9438,105.5283,0.034066
qL4OydeNzFE,Dünyanın en derin noktasında ne var?,4646599,1280,720,1.777778,86.8154,76.5731,125.7872,139.3532,65.7729,158.1915,0.034184
BNiLoPcYMVI,3.14159265358979323846264338327950288419716939937510582097494459230781640628620899862803482534211706,4516278,1280,720,1.777778,107.6905,106.451,103.2522,109.239,101.4356,13.485,0.098738
oMyAtjwlags,Dünyanın en Tehlikeli Tırmanışı,4375887,1280,720,1.777778,79.6011,84.5102,76.6348,92.8536,58.8901,88.2152,0.128595
oB2u8dbYQLI,Evrende gözlemlenebilen en büyük ve en küçük şey nedir?,4248166,1280,720,1.777778,69.7206,66.5981,83.1768,85.5218,94.1813,96.1514,0.060056
6WCjer_Fmsk,13 sayısı uğursuz mudur?,4152604,1280,720,1.777778,120.8587,110.6388,104.8238,122.5119,77.3186,78.9895,0.048542
rt3ZthtLbWQ,2050 yılında Dünya nasıl bir yer olacak?,4133105,1280,720,1.777778,27.6884,51.0516,41.7812,51.4958,65.4453,172.1388,0.100986
EMlNstwTHfU,Daha etkili öğrenmek için ne yapmak gerek? Feynman Tekniği ve Ötesi,4084931,1280,720,1.777778,99.519,96.6816,97.7218,99.7454,86.4654,39.7711,0.027612
dkBIPJYcTfg,Suudi Arabistan neden çizgi şeklinde bir şehir inşa ediyor?,4069520,1280,720,1.777778,102.881,111.7406,124.7377,135.3775,72.1129,109.771,0.037924
hFh3JUQ_a5U,TRAMVAY PROBLEMİ - Siz olsanız ne yapardınız?,3978500,1280,720,1.777778,178.5827,140.0806,51.0493,178.6798,109.6462,148.5993,0.04314
HStCv8ixyWg,Geri dönülemeyecek o noktaya sadece 12 yıl kaldı!,3864053,1280,720,1.777778,172.5869,126.0723,57.4568,174.6997,90.1182,155.6881,0.042667
