id,title,caption_source,primary_topic,topic_matches
f8wQj7zbspE,Japonya'da hiçbir şey göründüğü gibi değil (1. Bölüm),automatic,unclassified,
Xn51Ujzrx68,Truva Atı'nın içinde ne vardı? The Odyssey Film Analizi,automatic,sinema,sinema
9dMSKvFMLm4,Senin Mavin Benimkiyle Aynı mı?,automatic,unclassified,
hvGpiZlPoIE,Sisin İçinde Bir Şey Yaşıyor!,automatic,unclassified,
s4I_3carH04,Her Yıl 123.000 Kelime Daha Az Konuşuyoruz!,automatic,unclassified,
8bYUa4U8r6s,Backrooms Efsanesi,automatic,unclassified,
wJWta2lO0Lw,Sadece Wi-Fi modemle görüntüleme yapılabiliyor!,automatic,unclassified,
2LJUae_KbCo,Tatildeki 10 Gün Hayatınızın En Uzun Süresi Olabilir!,automatic,günlük_hayat,günlük_hayat
lV2koa9-1dk,Sen mi Yapay Zeka Kullanıyorsun? Yoksa O mu Seni?,automatic,uzay,"uzay,teknoloji"
e9SEsdHlt2o,Pentagon yeni UFO dosyalarını açtı!,automatic,uzay,uzay
kVgyKz4hYcY,"9, 32, 66, 83 Yaşları Neden Önemli? Yolun Yarısı 35 Değil!",automatic,günlük_hayat,günlük_hayat
ghS-AkvGg9U,Uzay Gerçekte Sessiz mi? (Bir Kara Deliğin Orijinal Sesi),automatic,uzay,uzay
s2zxxlsw6WU,Artemis II - 10. Gün Özeti (Türkçe Altyazılı) Atmosfere Giriş ve Tarihi Okyanus İnişi,automatic,tarih,tarih
9FzsLFfooCQ,Artemis II - 9. Gün Özeti (Türkçe Altyazılı) Dönüş Yolunun Yarısı,automatic,unclassified,
vtjaQDJLG5c,Artemis II - 8. Gün Özeti (Türkçe Altyazılı) Eve Dönüş Hazırlıkları,automatic,unclassified,
dAGGhi6On20,Artemis II - 7. Gün Özeti (Türkçe Altyazılı) ISS ve Integrity astronotları uzayda konuşuyor,automatic,uzay,uzay
MWdQoLkiB2A,Artemis II - 6. Gün Özeti (Türkçe Altyazılı) Ay Geçişi,automatic,uzay,uzay
ccZqiZ3Woo4,Artemis II - 5. Gün Özeti (Türkçe Altyazılı) Ay Geçişine Son Hazırlıklar,automatic,uzay,uzay
PIKh7fpyqAY,Artemis II - 4.Gün Özeti (Türkçe Altyazılı) Tarihin En Uzak Röportajı ve İrtifa Referans Değişimi,automatic,tarih,tarih
-6Pfo0p28to,Artemis II - 3.Gün Özeti (Türkçe Altyazılı) Orion Ay'a Dünya'dan Daha Yakın,automatic,unclassified,
6N-r4492zws,Artemis II - 2.Gün Özeti (Türkçe Altyazılı),automatic,unclassified,
Fwfdt3n13JY,Artemis II - 1.Gün Özeti (Türkçe Altyazılı),automatic,unclassified,
