id,title,upload_date,source_url
T7aDau5nXpg,Bu keman çöplerden yapıldı!,20220626,https://www.youtube.com/watch?v=T7aDau5nXpg
VRAVXdUvAkU,İlk 8K Vlog - Güney Kore 3.Bölüm: Gelenekten Geleceğe,20191215,https://www.youtube.com/watch?v=VRAVXdUvAkU
zx-qvEq3XkY,\"TWITTER X - Elon Musk, Twitter'ı “HER ŞEY UYGULAMASI”na dönüştürebilir mi?\",20221016,https://www.youtube.com/watch?v=zx-qvEq3XkY
84Q__dx_G4w,Dünya 2025’teki güneş fırtınasına hazır değil!,20210926,https://www.youtube.com/watch?v=84Q__dx_G4w
jO0OtYgbOI0,\"Sanatçı Mikrofonu, Radio Nish Program Kaydı - DİNLE\",20151225,https://www.youtube.com/watch?v=jO0OtYgbOI0
mq_SfrOddcM,Premiere Pro Eğitimi 36 - Toplu olarak geçiş efekti uygulamak,20150605,https://www.youtube.com/watch?v=mq_SfrOddcM
ULTw1LQDssk,2 Günde 4 Disney Parkı Gezmek,20180909,https://www.youtube.com/watch?v=ULTw1LQDssk
HStCv8ixyWg,Geri dönülemeyecek o noktaya sadece 12 yıl kaldı!,20181011,https://www.youtube.com/watch?v=HStCv8ixyWg
hQXLrPlcbeo,Kim ulan* bu Elon Musk?,20171112,https://www.youtube.com/watch?v=hQXLrPlcbeo
zAssqk78h4E,Yapay Zeka Çağında Tasarım,20231105,https://www.youtube.com/watch?v=zAssqk78h4E
k2QgPzi3dPc,Bunu Anlarsanız Her Şeyi Anlarsınız! Parçacık Fiziğinin Standart Modeli,20240331,https://www.youtube.com/watch?v=k2QgPzi3dPc
n4LCbWCshdw,Neden Sürekli Yorgunuz?,20250216,https://www.youtube.com/watch?v=n4LCbWCshdw
